gs_row,outcome,study_id,title,main_aim_of_study,intervention,intervention_type,intervention_grouping,arm,ad_class,ad_dose_numerical_fixed_amount_range_or_mean_dose,ad_dose_categorised,dose_schedule,length_of_study_start_to_post_intervention,pain_condition,general_pain_grouping,iasp_pain_grouping,minimum_pain_inclusion,design,imputation_method,scale,timepoint,follow_up_timepoint,mean,sd,se,median,ci_lower,ci_upper,iqr_lower,iqr_higher,n,r,r_percent,change_score,adverse_events_definition,stats_notes,study_notes,date_checked,remove_row_for_mood_analysis,intervention_category,direction_of_improvement,outcome_nma,outcome_label,model_type,model_text,outcome_all,time_no_change
239,physical,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,sf-36 physical component score,change_score,NA,4.6,8.42852300228219,0.8,NA,NA,NA,NA,NA,111,NA,NA,TRUE,NA,NA,NA,NA,NA,ad,higher,physical,physical functioning,smd,standardised mean diference,physical,post_int
240,physical,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 120mg,snri,120mg,high,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,sf-36 physical component score,change_score,NA,4.9,8.275264346230882,0.8,NA,NA,NA,NA,NA,107,NA,NA,TRUE,NA,NA,NA,NA,NA,ad,higher,physical,physical functioning,smd,standardised mean diference,physical,post_int
241,mood,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,sf-36 mental component score,baseline,NA,42.7,10.9,1.0392742222776956,NA,NA,NA,NA,NA,110,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,lower,mood,mood,smd,standardised mean diference,mood_overall,baseline
242,mood,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,sf-36 mental component score,baseline,NA,42.2,11.2,1.0630569552427989,NA,NA,NA,NA,NA,111,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,mood,mood,smd,standardised mean diference,mood_overall,baseline
243,mood,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 120mg,snri,120mg,high,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,sf-36 mental component score,baseline,NA,43.4,11.9,1.1504164219643396,NA,NA,NA,NA,NA,107,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,mood,mood,smd,standardised mean diference,mood_overall,baseline
244,mood,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,sf-36 mental component score,change_score,NA,2.6,10.488088481701515,1,NA,NA,NA,NA,NA,110,NA,NA,TRUE,NA,NA,NA,NA,NA,placebo,lower,mood,mood,smd,standardised mean diference,mood_overall,post_int
245,mood,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,sf-36 mental component score,change_score,NA,7.3,10.535653752852738,1,NA,NA,NA,NA,NA,111,NA,NA,TRUE,NA,NA,NA,NA,NA,ad,lower,mood,mood,smd,standardised mean diference,mood_overall,post_int
246,mood,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 120mg,snri,120mg,high,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,sf-36 mental component score,change_score,NA,6.7,10.344080432788601,1,NA,NA,NA,NA,NA,107,NA,NA,TRUE,NA,NA,NA,NA,NA,ad,lower,mood,mood,smd,standardised mean diference,mood_overall,post_int
247,pain_mod,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,39,0.33,FALSE,NA,NA,NA,NA,NA,placebo,higher,pain_mod,moderate pain (30% reduction),lor,log odds ratio,pain_mod,post_int
248,pain_mod,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,64,0.55,FALSE,NA,NA,NA,NA,NA,ad,higher,pain_mod,moderate pain (30% reduction),lor,log odds ratio,pain_mod,post_int
249,pain_mod,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 120mg,snri,120mg,high,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,61,0.54,FALSE,NA,NA,NA,NA,NA,ad,higher,pain_mod,moderate pain (30% reduction),lor,log odds ratio,pain_mod,post_int
250,pain_sub,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,27,0.23,FALSE,NA,NA,NA,NA,NA,placebo,higher,pain_sub,substantial pain (50% reduction),lor,log odds ratio,pain_sub,post_int
251,pain_sub,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,48,0.41,FALSE,NA,NA,NA,NA,NA,ad,higher,pain_sub,substantial pain (50% reduction),lor,log odds ratio,pain_sub,post_int
252,pain_sub,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 120mg,snri,120mg,high,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,47,0.41,FALSE,NA,NA,NA,NA,NA,ad,higher,pain_sub,substantial pain (50% reduction),lor,log odds ratio,pain_sub,post_int
253,adverse,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,95,0.792,FALSE,NA,NA,NA,NA,NA,placebo,lower,adverse,adverse events,lor,log odds ratio,adverse,post_int
254,adverse,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,109,0.924,FALSE,NA,NA,NA,NA,NA,ad,lower,adverse,adverse events,lor,log odds ratio,adverse,post_int
255,adverse,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 120mg,snri,120mg,high,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,105,0.905,FALSE,NA,NA,NA,NA,NA,ad,lower,adverse,adverse events,lor,log odds ratio,adverse,post_int
256,adverse_dropout,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,14,NA,FALSE,NA,NA,NA,NA,NA,placebo,NA,adverse_dropout,adverse outcomes excluded from nma,NA,NA,adverse_dropout,post_int
257,adverse_dropout,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,25,NA,FALSE,NA,NA,NA,NA,NA,ad,NA,adverse_dropout,adverse outcomes excluded from nma,NA,NA,adverse_dropout,post_int
258,adverse_dropout,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 120mg,snri,120mg,high,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,27,NA,FALSE,NA,NA,NA,NA,NA,ad,NA,adverse_dropout,adverse outcomes excluded from nma,NA,NA,adverse_dropout,post_int
259,serious_adverse,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,NA,NA,NA,NA,NA,placebo,NA,serious_adverse,adverse outcomes excluded from nma,NA,NA,serious_adverse,post_int
260,serious_adverse,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,1,0.008,FALSE,NA,NA,NA,NA,NA,ad,NA,serious_adverse,adverse outcomes excluded from nma,NA,NA,serious_adverse,post_int
261,serious_adverse,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 120mg,snri,120mg,high,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,1,0.008,FALSE,NA,NA,NA,NA,NA,ad,NA,serious_adverse,adverse outcomes excluded from nma,NA,NA,serious_adverse,post_int
262,withdrawal,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,52,0.43,FALSE,NA,NA,NA,NA,NA,placebo,lower,withdrawal,withdrawal,lor,log odds ratio,withdrawal,post_int
263,withdrawal,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,41,0.35,FALSE,NA,NA,NA,NA,NA,ad,lower,withdrawal,withdrawal,lor,log odds ratio,withdrawal,post_int
264,withdrawal,arnold 2005,"a randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",pain,duloxetine,antidepressant,antidepressant,duloxetine 120mg,snri,120mg,high,fixed,12 weeks,fibromyalgia,fibromyalgia,primary,≥4 on 10nrs,parallel,not reported,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,45,0.39,FALSE,NA,NA,NA,NA,NA,ad,lower,withdrawal,withdrawal,lor,log odds ratio,withdrawal,post_int
265,pain_int,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,0-10 numerical rating scale,baseline,NA,6.82,1.3839075113604955,0.12,NA,NA,NA,NA,NA,133,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,baseline
266,pain_int,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,esreboxetine,antidepressant,antidepressant,esreboxetine 2-8mg,snri,2-8mg,unable to be categorised,flexible,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,0-10 numerical rating scale,baseline,NA,6.85,1.3839075113604955,0.12,NA,NA,NA,NA,NA,133,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,baseline
267,pain_int,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,0-10 numerical rating scale,change_score,NA,-0.99,1.8452100151473274,0.16,NA,NA,NA,NA,NA,133,NA,NA,TRUE,NA,NA,NA,NA,NA,placebo,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,post_int
268,pain_int,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,esreboxetine,antidepressant,antidepressant,esreboxetine 2-8mg,snri,2-8mg,unable to be categorised,flexible,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,0-10 numerical rating scale,change_score,NA,-1.55,1.8452100151473274,0.16,NA,NA,NA,NA,NA,133,NA,NA,TRUE,NA,NA,NA,NA,NA,ad,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,post_int
269,qol,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,fibromyalgia impact questionnaire total score,baseline,NA,62.76,13.442276592898986,1.17,NA,NA,NA,NA,NA,132,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,higher,qol,quality of life,smd,standardised mean diference,qol,baseline
270,qol,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,esreboxetine,antidepressant,antidepressant,esreboxetine 2-8mg,snri,2-8mg,unable to be categorised,flexible,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,fibromyalgia impact questionnaire total score,baseline,NA,61.37,15.839191898578665,1.4,NA,NA,NA,NA,NA,128,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,higher,qol,quality of life,smd,standardised mean diference,qol,baseline
271,qol,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,fibromyalgia impact questionnaire total score,change_score,NA,-8.07,17.69325295133713,1.54,NA,NA,NA,NA,NA,132,NA,NA,TRUE,NA,NA,NA,NA,NA,placebo,higher,qol,quality of life,smd,standardised mean diference,qol,post_int
272,qol,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,esreboxetine,antidepressant,antidepressant,esreboxetine 2-8mg,snri,2-8mg,unable to be categorised,flexible,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,fibromyalgia impact questionnaire total score,change_score,NA,-15.63,17.649385258416228,1.56,NA,NA,NA,NA,NA,128,NA,NA,TRUE,NA,NA,NA,NA,NA,ad,higher,qol,quality of life,smd,standardised mean diference,qol,post_int
273,sleep,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,mos sleep problems index i,baseline,NA,63.19,16.904141504376966,1.5,NA,NA,NA,NA,NA,127,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,lower,sleep,sleep,smd,standardised mean diference,sleep,baseline
274,sleep,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,esreboxetine,antidepressant,antidepressant,esreboxetine 2-8mg,snri,2-8mg,unable to be categorised,flexible,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,mos sleep problems index i,baseline,NA,60.88,16.72520851887952,1.49,NA,NA,NA,NA,NA,126,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,sleep,sleep,smd,standardised mean diference,sleep,baseline
275,sleep,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,mos sleep problems index i,change_score,NA,-3.96,16.904141504376966,1.5,NA,NA,NA,NA,NA,127,NA,NA,TRUE,NA,NA,NA,NA,NA,placebo,lower,sleep,sleep,smd,standardised mean diference,sleep,post_int
276,sleep,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,esreboxetine,antidepressant,antidepressant,esreboxetine 2-8mg,snri,2-8mg,unable to be categorised,flexible,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,mos sleep problems index i,change_score,NA,-5.47,16.949707962085956,1.51,NA,NA,NA,NA,NA,126,NA,NA,TRUE,NA,NA,NA,NA,NA,ad,lower,sleep,sleep,smd,standardised mean diference,sleep,post_int
285,mood,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,sf-36 mental component score,baseline,NA,39.52,11.673971046734698,1.04,NA,NA,NA,NA,NA,126,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,lower,mood,mood,smd,standardised mean diference,mood_overall,baseline
286,mood,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,esreboxetine,antidepressant,antidepressant,esreboxetine 2-8mg,snri,2-8mg,unable to be categorised,flexible,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,sf-36 mental component score,baseline,NA,41.47,12.684218541163661,1.13,NA,NA,NA,NA,NA,126,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,mood,mood,smd,standardised mean diference,mood_overall,baseline
287,mood,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,sf-36 mental component score,change_score,NA,1.81,9.316726893067115,0.83,NA,NA,NA,NA,NA,126,NA,NA,TRUE,NA,NA,NA,NA,NA,placebo,lower,mood,mood,smd,standardised mean diference,mood_overall,post_int
288,mood,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,esreboxetine,antidepressant,antidepressant,esreboxetine 2-8mg,snri,2-8mg,unable to be categorised,flexible,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,sf-36 mental component score,change_score,NA,4.25,9.316726893067115,0.83,NA,NA,NA,NA,NA,126,NA,NA,TRUE,NA,NA,NA,NA,NA,ad,lower,mood,mood,smd,standardised mean diference,mood_overall,post_int
289,physical,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,sf-36 physical component score,baseline,NA,31.29,7.520731347415623,0.67,NA,NA,NA,NA,NA,126,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,higher,physical,physical functioning,smd,standardised mean diference,physical,baseline
290,physical,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,esreboxetine,antidepressant,antidepressant,esreboxetine 2-8mg,snri,2-8mg,unable to be categorised,flexible,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,sf-36 physical component score,baseline,NA,30.5,7.632981069018841,0.68,NA,NA,NA,NA,NA,126,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,higher,physical,physical functioning,smd,standardised mean diference,physical,baseline
291,physical,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,sf-36 physical component score,change_score,NA,1.86,6.622733574589876,0.59,NA,NA,NA,NA,NA,126,NA,NA,TRUE,NA,NA,NA,NA,NA,placebo,higher,physical,physical functioning,smd,standardised mean diference,physical,post_int
292,physical,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,esreboxetine,antidepressant,antidepressant,esreboxetine 2-8mg,snri,2-8mg,unable to be categorised,flexible,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,sf-36 physical component score,change_score,NA,4.36,6.622733574589876,0.59,NA,NA,NA,NA,NA,126,NA,NA,TRUE,NA,NA,NA,NA,NA,ad,higher,physical,physical functioning,smd,standardised mean diference,physical,post_int
293,pain_mod,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,30,0.226,FALSE,NA,NA,NA,NA,NA,placebo,higher,pain_mod,moderate pain (30% reduction),lor,log odds ratio,pain_mod,post_int
294,pain_mod,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,esreboxetine,antidepressant,antidepressant,esreboxetine 2-8mg,snri,2-8mg,unable to be categorised,flexible,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,50,0.376,FALSE,NA,NA,NA,NA,NA,ad,higher,pain_mod,moderate pain (30% reduction),lor,log odds ratio,pain_mod,post_int
295,pain_sub,arnold 2010: 1,"safety and efficacy of esreboxetine in patients with fibromyalgia: an 8 week, multicenter, randomized, double-blind, placebo-controlled study",pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,8 weeks,fibromyalgia,fibromyalgia,primary,"≥40 on 100vas for present pain intensity, ≥4 on 10nrs for weekly mean pain",parallel,itt with locf,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,11,0.083,FALSE,NA,NA,NA,NA,NA,placebo,higher,pain_sub,substantial pain (50% reduction),lor,log odds ratio,pain_sub,post_int
