Outcome,Study ID,Title,Main aim of study,Intervention,Intervention type,Intervention grouping,Arm,AD class,"AD dose numerical (fixed amount, range or mean dose)",AD dose categorised,Dose schedule,Length of study (start to post-intervention),Pain condition,General pain grouping,IASP pain grouping,Minimum pain inclusion?,Design,Imputation method,Scale,Timepoint,Follow up timepoint,mean,sd,se,median,ci lower,ci upper,iqr lower,iqr higher,n,r,r%,Change score,Adverse events definition,Stats notes,Study notes,Date checked,Remove row for mood analysis,Funded by pharma?,Sequence generation,Allocation concealment,Blinding of participants and personnel,Blinding of outcome assessors,Incomplete outcome data,Selective outcome reporting,Other sources of bias
serious_adverse,Aragona 2005,"Randomized double-blind comparison of serotonergic (Citalopram) versus noradrenergic (Reboxetine) upatke inhibitors in outpatients with somatoform, DSM-IV-TR pain disorder",Pain,Reboxetine,Antidepressant,Antidepressant,Reboxetine 8mg,NaRI,8mg,Standard,Fixed,8 weeks,Somatoform pain disorder,Primary,Primary,No,Parallel,Randomized population,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0,0,FALSE,NA,NA,NA,NA,NA,Not reported,Low,Unclear,Unclear,Unclear,High,Unclear,Low
withdrawal,Aragona 2005,"Randomized double-blind comparison of serotonergic (Citalopram) versus noradrenergic (Reboxetine) upatke inhibitors in outpatients with somatoform, DSM-IV-TR pain disorder",Pain,Citalopram,Antidepressant,Antidepressant,Citalopram 40mg,SSRI,40mg,Standard,Fixed,8 weeks,Somatoform pain disorder,Primary,Primary,No,Parallel,Randomized population,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,6,NA,FALSE,NA,NA,NA,NA,NA,Not reported,Low,Unclear,Unclear,Unclear,High,Unclear,Low
withdrawal,Aragona 2005,"Randomized double-blind comparison of serotonergic (Citalopram) versus noradrenergic (Reboxetine) upatke inhibitors in outpatients with somatoform, DSM-IV-TR pain disorder",Pain,Reboxetine,Antidepressant,Antidepressant,Reboxetine 8mg,NaRI,8mg,Standard,Fixed,8 weeks,Somatoform pain disorder,Primary,Primary,No,Parallel,Randomized population,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,9,NA,FALSE,NA,NA,NA,NA,NA,Not reported,Low,Unclear,Unclear,Unclear,High,Unclear,Low
pain_int,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,FIQ pain,Baseline,NA,6,1.9,NA,NA,NA,NA,NA,NA,30,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
pain_int,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Fluoxetine,Antidepressant,Antidepressant,Fluoxetine 10-80mg,SSRI,10-80mg,Unable to be categorised,Flexible,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,FIQ pain,Baseline,NA,6.1,1.9,NA,NA,NA,NA,NA,NA,30,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
pain_int,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,FIQ pain,Post_int,NA,0.4,2.4,NA,NA,NA,NA,NA,NA,26,NA,NA,TRUE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
pain_int,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Fluoxetine,Antidepressant,Antidepressant,Fluoxetine 10-80mg,SSRI,10-80mg,Unable to be categorised,Flexible,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,FIQ pain,Post_int,NA,-1.8,2.4,NA,NA,NA,NA,NA,NA,25,NA,NA,TRUE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
qol,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,Fibromyalgia Impact Questionnaire total score,Baseline,NA,44,14,NA,NA,NA,NA,NA,NA,30,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
qol,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Fluoxetine,Antidepressant,Antidepressant,Fluoxetine 10-80mg,SSRI,10-80mg,Unable to be categorised,Flexible,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,Fibromyalgia Impact Questionnaire total score,Baseline,NA,42,14,NA,NA,NA,NA,NA,NA,30,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
qol,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,Fibromyalgia Impact Questionnaire total score,Post_int,NA,2.9,13.6,NA,NA,NA,NA,NA,NA,26,NA,NA,TRUE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
qol,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Fluoxetine,Antidepressant,Antidepressant,Fluoxetine 10-80mg,SSRI,10-80mg,Unable to be categorised,Flexible,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,Fibromyalgia Impact Questionnaire total score,Post_int,NA,-8.6,14.5,NA,NA,NA,NA,NA,NA,25,NA,NA,TRUE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
mood_depression,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,FIQ depression,Baseline,NA,2.5,2,NA,NA,NA,NA,NA,NA,30,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
mood_depression,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Fluoxetine,Antidepressant,Antidepressant,Fluoxetine 10-80mg,SSRI,10-80mg,Unable to be categorised,Flexible,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,FIQ depression,Baseline,NA,2.7,2.7,NA,NA,NA,NA,NA,NA,30,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
mood_depression,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,FIQ depression,Post_int,NA,1.1,2.5,NA,NA,NA,NA,NA,NA,26,NA,NA,TRUE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
mood_depression,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Fluoxetine,Antidepressant,Antidepressant,Fluoxetine 10-80mg,SSRI,10-80mg,Unable to be categorised,Flexible,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,FIQ depression,Post_int,NA,-0.9,2.8,NA,NA,NA,NA,NA,NA,25,NA,NA,TRUE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
physical,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,FIQ physical functioning,Baseline,NA,3.7,2.7,NA,NA,NA,NA,NA,NA,30,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
physical,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Fluoxetine,Antidepressant,Antidepressant,Fluoxetine 10-80mg,SSRI,10-80mg,Unable to be categorised,Flexible,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,FIQ physical functioning,Baseline,NA,3.7,2.7,NA,NA,NA,NA,NA,NA,30,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
physical,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,FIQ physical functioning,Post_int,NA,-0.4,2.1,NA,NA,NA,NA,NA,NA,26,NA,NA,TRUE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
physical,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Fluoxetine,Antidepressant,Antidepressant,Fluoxetine 10-80mg,SSRI,10-80mg,Unable to be categorised,Flexible,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,ITT with LOCF,FIQ physical functioning,Post_int,NA,-1.1,2.3,NA,NA,NA,NA,NA,NA,25,NA,NA,TRUE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
withdrawal,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,Randomized population,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,12,40,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
withdrawal,Arnold 2002,"A randomized, placebo-controlled, double-blind, flexible-dose study of fluoxetine in the treatment of women with fibromyalgia",Pain,Fluoxetine,Antidepressant,Antidepressant,Fluoxetine 10-80mg,SSRI,10-80mg,Unable to be categorised,Flexible,12 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Parallel,Randomized population,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,11,36.7,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Low,Low,Unclear,Unclear,Low
pain_int,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Baseline,NA,6.1,1.7,NA,NA,NA,NA,NA,NA,102,NA,NA,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
pain_int,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 120mg,SNRI,120mg,High,Fixed,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Baseline,NA,6.1,1.8,NA,NA,NA,NA,NA,NA,103,NA,NA,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
pain_int,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Post_int,NA,-0.94,NA,0.23,NA,NA,NA,NA,NA,102,NA,NA,TRUE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
pain_int,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 120mg,SNRI,120mg,High,Fixed,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Post_int,NA,-1.83,NA,0.24,NA,NA,NA,NA,NA,100,NA,NA,TRUE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
qol,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Fibromyalgia Impact Questionnaire total score,Baseline,NA,50.2,13.3,NA,NA,NA,NA,NA,NA,101,NA,NA,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
qol,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 120mg,SNRI,120mg,High,Fixed,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Fibromyalgia Impact Questionnaire total score,Baseline,NA,48.7,14.7,NA,NA,NA,NA,NA,NA,103,NA,NA,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
qol,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Fibromyalgia Impact Questionnaire total score,Post_int,NA,-7.93,NA,1.73,NA,NA,NA,NA,NA,102,NA,NA,TRUE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
qol,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 120mg,SNRI,120mg,High,Fixed,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Fibromyalgia Impact Questionnaire total score,Post_int,NA,-13.46,NA,1.82,NA,NA,NA,NA,NA,101,NA,NA,TRUE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
physical,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Physical Component Score,Baseline,NA,30.3,8,NA,NA,NA,NA,NA,NA,92,NA,NA,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
physical,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 120mg,SNRI,120mg,High,Fixed,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Physical Component Score,Baseline,NA,29.3,8.8,NA,NA,NA,NA,NA,NA,91,NA,NA,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
physical,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Physical Component Score,Post_int,NA,2.53,NA,0.8,NA,NA,NA,NA,NA,92,NA,NA,TRUE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
physical,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 120mg,SNRI,120mg,High,Fixed,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Physical Component Score,Post_int,NA,5.49,NA,0.81,NA,NA,NA,NA,NA,91,NA,NA,TRUE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
mood_overall,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Mental Component Score,Baseline,NA,44,10.3,NA,NA,NA,NA,NA,NA,92,NA,NA,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
mood_overall,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 120mg,SNRI,120mg,High,Fixed,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Mental Component Score,Baseline,NA,46.3,11.8,NA,NA,NA,NA,NA,NA,91,NA,NA,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
mood_overall,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Mental Component Score,Post_int,NA,0.52,NA,1.05,NA,NA,NA,NA,NA,92,NA,NA,TRUE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
mood_overall,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 120mg,SNRI,120mg,High,Fixed,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,SF-36 Mental Component Score,Post_int,NA,2.98,NA,1.04,NA,NA,NA,NA,NA,91,NA,NA,TRUE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
pgic_cont,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,PGIC,Post_int,NA,3.53,NA,0.17,NA,NA,NA,NA,NA,99,NA,NA,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
pgic_cont,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 120mg,SNRI,120mg,High,Fixed,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,PGIC,Post_int,NA,3.02,NA,0.17,NA,NA,NA,NA,NA,95,NA,NA,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
adverse,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,74.8,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
adverse,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 120mg,SNRI,120mg,High,Fixed,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,90.4,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
adverse_dropout,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,11,NA,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
adverse_dropout,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 120mg,SNRI,120mg,High,Fixed,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,18,NA,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
withdrawal,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,37,NA,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
withdrawal,Arnold 2004,"A double-blind, multicenter trial comparing duloxetine with placebo in the treatment of fibromyalgia patients with or without major depressive disorder",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 120mg,SNRI,120mg,High,Fixed,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,ITT with LOCF,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,46,NA,FALSE,NA,NA,Included and categorised people with MDD: 41/103 in placebo and 37/104 in duloxetine,NA,NA,Yes,Low,Low,Low,Low,High,Unclear,Low
pain_int,Arnold 2005,"A randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,Not reported,0-10 Numerical Rating Scale,Baseline,NA,6.5,1.5,NA,NA,NA,NA,NA,NA,120,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Unclear,Unclear,High,Unclear,Low
pain_int,Arnold 2005,"A randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,Not reported,0-10 Numerical Rating Scale,Baseline,NA,6.4,1.4,NA,NA,NA,NA,NA,NA,118,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Unclear,Unclear,High,Unclear,Low
pain_int,Arnold 2005,"A randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 120mg,SNRI,120mg,High,Fixed,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,Not reported,0-10 Numerical Rating Scale,Baseline,NA,6.4,1.6,NA,NA,NA,NA,NA,NA,116,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Unclear,Unclear,High,Unclear,Low
pain_int,Arnold 2005,"A randomized, double-blind, placebo-controlled trial of duloxetine in the treatment of women with fibromyalgia with or without major depressive disorder",Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,12 weeks,Fibromyalgia,Fibromyalgia,Primary,≥4 on 10NRS,Parallel,Not reported,0-10 Numerical Rating Scale,Post_int,NA,-1.16,NA,0.21,NA,NA,NA,NA,NA,118,NA,NA,TRUE,NA,NA,NA,NA,NA,Yes,Unclear,Unclear,Unclear,Unclear,High,Unclear,Low
